# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
Ę           0.8148    0.1805       0.9291     0.2663     0.7337     0.4674     0.5094
ę           0.8148    0.3297       0.9181     0.2725     0.7275     0.4549     0.5129
Ě           0.8148    0.0026       0.8148     0.2667     0.7333     0.4666     0.5094
ě           0.8148    0.1536       0.8162     0.2725     0.7275     0.4549     0.5129
Ĝ           0.8148    0.0026       0.8148     0.1974     0.8026     0.6052     0.6453
ĝ           0.8148    0.1536       0.9968     0.2592     0.7408     0.4816     0.5200
Ğ           0.8148    0.0463       0.8148     0.1974     0.8026     0.6052     0.6453
ğ           0.8148    0.1973       0.9968     0.2592     0.7408     0.4816     0.5200
Ġ           0.8148    0.0353       0.8148     0.1974     0.8026     0.6052     0.6453
ġ           0.8148    0.1863       0.9968     0.2592     0.7408     0.4816     0.5200
Ĥ           0.8148    0.0026       0.8148     0.2160     0.7840     0.5681     0.6144
ĥ           0.8148    0.0049       0.8148     0.2703     0.7297     0.4595     0.5058
Ĩ           0.8148    0.0583       0.8148     0.3892     0.6108     0.2216     0.1885
ĩ           0.8148    0.2092       0.8148     0.3892     0.6108     0.2216     0.1774
Ĭ           0.8148    0.0463       0.8148     0.4281     0.5719     0.1439     0.1885
ĭ           0.8148    0.1973       0.8148     0.4281     0.5719     0.1439     0.1748
Į           0.8148    0.1805       0.9291     0.4281     0.5719     0.1439     0.1885
į           0.8148    0.1805       0.9291     0.4281     0.5719     0.1439     0.1748
İ           0.8148    0.0353       0.8148     0.4281     0.5719     0.1439     0.1885
ı           0.8148    0.3297       0.8148     0.4281     0.5719     0.1439     0.1748
Ĵ           0.8148    0.0004       0.8155     0.2641     0.7359     0.4719     0.5054
ĵ           0.8148    0.0026       0.8190     0.3711     0.6289     0.2578     0.2573
Ĺ           0.8148    0.0022       0.8148     0.2647     0.7353     0.4705     0.5147
ĺ           0.8148    0.0049       0.8148     0.4281     0.5719     0.1439     0.1885
Ŀ           0.8148    0.1805       0.8148     0.2647     0.7353     0.4705     0.5147
ŀ           0.8148    0.1805       0.8148     0.3362     0.6638     0.3275     0.3567
Ł           0.8148    0.1805       0.8148     0.2294     0.7706     0.5412     0.5721
ł           0.8148    0.1805       0.8148     0.3517     0.6483     0.2966     0.3284
Ń           0.8148    0.0022       0.8148     0.2420     0.7580     0.5160     0.5619
ń           0.8148    0.1532       0.8148     0.2703     0.7297     0.4595     0.5058
Ň           0.8148    0.0026       0.8148     0.2420     0.7580     0.5160     0.5619
ň           0.8148    0.1536       0.8148     0.2703     0.7297     0.4595     0.5058
Ŏ           0.8148    0.0463       0.8148     0.1974     0.8026     0.6052     0.6493
ŏ           0.8148    0.1973       0.8162     0.2698     0.7302     0.4604     0.5129
Ő           0.8148    0.0022       0.8148     0.1974     0.8026     0.6052     0.6493
ő           0.8148    0.1532       0.8162     0.2698     0.7302     0.4604     0.5129
Œ           0.8148    0.1805       0.8148     0.1100     0.8900     0.7800     0.8126
œ           0.8148    0.3297       0.8162     0.0989     0.9011     0.8023     0.8824
Ŕ           0.8148    0.0022       0.8148     0.2336     0.7664     0.5328     0.5712
ŕ           0.8148    0.1532       0.8148     0.3749     0.6251     0.2503     0.2882
Ř           0.8148    0.0026       0.8148     0.2336     0.7664     0.5328     0.5712
ř           0.8148    0.1536       0.8148     0.3749     0.6251     0.2503     0.2882
Ś           0.8148    0.0022       0.8166     0.2453     0.7547     0.5094     0.5566
ś           0.8148    0.1532       0.8148     0.2844     0.7156     0.4312     0.4674
Ŝ           0.8148    0.0026       0.8166     0.2453     0.7547     0.5094     0.5566
ŝ           0.8148    0.1536       0.8148     0.2844     0.7156     0.4312     0.4674
