# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
·           0.7223    0.5017       0.5778     0.4619     0.5381     0.0761     0.3991
¸           0.7223    0.7223       0.8555     0.4465     0.5535     0.1069     0.3877
¹           0.7223    0.2632       0.5399     0.4544     0.5456     0.0912     0.2663
º           0.7223    0.2311       0.4422     0.3997     0.6003     0.2006     0.2663
»           0.7223    0.4182       0.6918     0.3632     0.6368     0.2737     0.3307
¼           0.7223    0.2549       0.7337     0.2777     0.7223     0.4447     0.5057
½           0.7223    0.2549       0.7337     0.2775     0.7225     0.4450     0.5057
¾           0.7223    0.2549       0.7337     0.2777     0.7223     0.4447     0.5057
¿           0.7223    0.3877       0.8555     0.3783     0.6217     0.2435     0.2663
À           0.7223    0.1291       0.7223     0.2884     0.7116     0.4231     0.4354
Á           0.7223    0.1291       0.7223     0.2884     0.7116     0.4231     0.4354
Â           0.7223    0.1291       0.7223     0.2884     0.7116     0.4231     0.4354
Ã           0.7223    0.1559       0.7223     0.2884     0.7116     0.4231     0.4354
Ä           0.7223    0.1747       0.7223     0.2884     0.7116     0.4231     0.4354
Å           0.7223    0.0881       0.7223     0.2884     0.7116     0.4231     0.4354
Æ           0.7223    0.2663       0.7223     0.2242     0.7758     0.5516     0.5723
Ç           0.7223    0.2549       0.8555     0.3153     0.6847     0.3695     0.4367
È           0.7223    0.1291       0.7223     0.3659     0.6341     0.2681     0.3421
É           0.7223    0.1291       0.7223     0.3659     0.6341     0.2681     0.3421
Ê           0.7223    0.1291       0.7223     0.3659     0.6341     0.2681     0.3421
Ë           0.7223    0.1747       0.7223     0.3659     0.6341     0.2681     0.3421
Ì           0.7223    0.1291       0.7223     0.4277     0.5723     0.1445     0.1818
Í           0.7223    0.1291       0.7223     0.4277     0.5723     0.1445     0.1818
Î           0.7223    0.1291       0.7223     0.3921     0.6079     0.2157     0.1818
Ï           0.7223    0.1747       0.7223     0.4125     0.5875     0.1750     0.1818
Ð           0.7223    0.2663       0.7223     0.2749     0.7251     0.4502     0.4727
Ñ           0.7223    0.1559       0.7223     0.3257     0.6743     0.3485     0.4663
Ò           0.7223    0.1291       0.7337     0.2867     0.7133     0.4265     0.4903
Ó           0.7223    0.1291       0.7337     0.2867     0.7133     0.4265     0.4903
Ô           0.7223    0.1291       0.7337     0.2867     0.7133     0.4265     0.4903
Õ           0.7223    0.1559       0.7337     0.2867     0.7133     0.4265     0.4903
Ö           0.7223    0.1747       0.7337     0.2867     0.7133     0.4265     0.4903
×           0.7223    0.3575       0.7223     0.3176     0.6824     0.3649     0.5017
Ø           0.7223    0.2549       0.7337     0.2867     0.7133     0.4265     0.4903
Ù           0.7223    0.1291       0.7337     0.3364     0.6636     0.3273     0.4373
Ú           0.7223    0.1291       0.7337     0.3364     0.6636     0.3273     0.4373
Û           0.7223    0.1291       0.7337     0.3364     0.6636     0.3273     0.4373
Ü           0.7223    0.1747       0.7337     0.3364     0.6636     0.3273     0.4373
Ý           0.7223    0.1291       0.7223     0.3100     0.6900     0.3800     0.3932
Þ           0.7223    0.2663       0.7223     0.3606     0.6394     0.2789     0.3488
ß           0.7223    0.2280       0.7300     0.3510     0.6490     0.2980     0.3775
à           0.7223    0.2280       0.7300     0.3493     0.6507     0.3014     0.3485
á           0.7223    0.2280       0.7300     0.3493     0.6507     0.3014     0.3485
â           0.7223    0.2280       0.7300     0.3493     0.6507     0.3014     0.3485
ã           0.7223    0.2549       0.7300     0.3493     0.6507     0.3014     0.3485
ä           0.7223    0.2737       0.7300     0.3493     0.6507     0.3014     0.3485
å           0.7223    0.1871       0.7300     0.3493     0.6507     0.3014     0.3485
æ           0.7223    0.3803       0.7300     0.2696     0.7304     0.4607     0.5371
ç           0.7223    0.3803       0.8555     0.3706     0.6294     0.2589     0.3233
è           0.7223    0.2280       0.7300     0.3633     0.6367     0.2733     0.3516
é           0.7223    0.2280       0.7300     0.3633     0.6367     0.2733     0.3516
ê           0.7223    0.2280       0.7300     0.3633     0.6367     0.2733     0.3516
ë           0.7223    0.2737       0.7300     0.3633     0.6367     0.2733     0.3516
ì           0.7223    0.2280       0.7223     0.4277     0.5723     0.1445     0.1824
í           0.7223    0.2280       0.7223     0.4277     0.5723     0.1445     0.1824
î           0.7223    0.2280       0.7223     0.3921     0.6079     0.2157     0.1824
ï           0.7223    0.2737       0.7223     0.4125     0.5875     0.1750     0.1824
ð           0.7223    0.2071       0.7300     0.3439     0.6561     0.3122     0.3803
ñ           0.7223    0.2549       0.7223     0.3632     0.6368     0.2737     0.3917
ò           0.7223    0.2280       0.7300     0.3404     0.6596     0.3193     0.3877
ó           0.7223    0.2280       0.7300     0.3404     0.6596     0.3193     0.3877
ô           0.7223    0.2280       0.7300     0.3404     0.6596     0.3193     0.3877
õ           0.7223    0.2549       0.7300     0.3404     0.6596     0.3193     0.3877
ö           0.7223    0.2737       0.7300     0.3404     0.6596     0.3193     0.3877
÷           0.7223    0.3877       0.6918     0.3176     0.6824     0.3649     0.5017
ø           0.7223    0.3803       0.7300     0.3404     0.6596     0.3193     0.3877
ù           0.7223    0.2280       0.7300     0.3632     0.6368     0.2737     0.3917
ú           0.7223    0.2280       0.7300     0.3632     0.6368     0.2737     0.3917
û           0.7223    0.2280       0.7300     0.3632     0.6368     0.2737     0.3917
ü           0.7223    0.2737       0.7300     0.3632     0.6368     0.2737     0.3917
ý           0.7223    0.2280       0.8441     0.3394     0.6606     0.3211     0.3297
þ           0.7223    0.2357       0.8441     0.3488     0.6512     0.3023     0.3972
ÿ           0.7223    0.2737       0.8441     0.3394     0.6606     0.3211     0.3297
Ā           0.7223    0.1824       0.7223     0.2884     0.7116     0.4231     0.4354
ā           0.7223    0.2814       0.7300     0.3493     0.6507     0.3014     0.3485
Ă           0.7223    0.1368       0.7223     0.2884     0.7116     0.4231     0.4354
ă           0.7223    0.2357       0.7300     0.3493     0.6507     0.3014     0.3485
Ą           0.7223    0.2663       0.8364     0.2884     0.7116     0.4231     0.4354
ą           0.7223    0.3803       0.8364     0.3493     0.6507     0.3014     0.3485
Ć           0.7223    0.1291       0.7337     0.3153     0.6847     0.3695     0.4367
ć           0.7223    0.2280       0.7300     0.3706     0.6294     0.2589     0.3233
Ĉ           0.7223    0.1291       0.7337     0.3153     0.6847     0.3695     0.4367
ĉ           0.7223    0.2280       0.7300     0.3692     0.6308     0.2616     0.3233
Ċ           0.7223    0.1673       0.7337     0.3153     0.6847     0.3695     0.4367
ċ           0.7223    0.2663       0.7300     0.3706     0.6294     0.2589     0.3233
Č           0.7223    0.1291       0.7337     0.3153     0.6847     0.3695     0.4367
č           0.7223    0.2280       0.7300     0.3683     0.6317     0.2635     0.3233
Ď           0.7223    0.1291       0.7223     0.3091     0.6909     0.3818     0.4727
ď           0.7223    0.2357       0.7300     0.2881     0.7119     0.4237     0.4884
Đ           0.7223    0.2663       0.7223     0.2749     0.7251     0.4502     0.4727
đ           0.7223    0.2357       0.7300     0.3185     0.6815     0.3630     0.3972
Ē           0.7223    0.1824       0.7223     0.3659     0.6341     0.2681     0.3421
ē           0.7223    0.2814       0.7300     0.3633     0.6367     0.2733     0.3516
Ĕ           0.7223    0.1368       0.7223     0.3659     0.6341     0.2681     0.3421
ĕ           0.7223    0.2357       0.7300     0.3633     0.6367     0.2733     0.3516
Ė           0.7223    0.1673       0.7223     0.3659     0.6341     0.2681     0.3421
ė           0.7223    0.2663       0.7300     0.3633     0.6367     0.2733     0.3516
Ę           0.7223    0.2663       0.8364     0.3659     0.6341     0.2681     0.3421
ę           0.7223    0.3800       0.8364     0.3633     0.6367     0.2733     0.3516
Ě           0.7223    0.1291       0.7223     0.3659     0.6341     0.2681     0.3421
ě           0.7223    0.2280       0.7300     0.3633     0.6367     0.2733     0.3516
Ĝ           0.7223    0.1291       0.7337     0.3153     0.6847     0.3695     0.4561
ĝ           0.7223    0.2280       0.8515     0.3488     0.6512     0.3023     0.3935
Ğ           0.7223    0.1368       0.7337     0.3153     0.6847     0.3695     0.4561
ğ           0.7223    0.2357       0.8515     0.3488     0.6512     0.3023     0.3935
Ġ           0.7223    0.1673       0.7337     0.3153     0.6847     0.3695     0.4561
ġ           0.7223    0.2663       0.8515     0.3488     0.6512     0.3023     0.3935
Ģ           0.7223    0.2549       0.8555     0.3153     0.6847     0.3695     0.4561
ģ           0.7223    0.1871       0.8515     0.3488     0.6512     0.3023     0.3935
Ĥ           0.7223    0.1291       0.7223     0.3268     0.6732     0.3464     0.4638
ĥ           0.7223    0.1063       0.7223     0.3245     0.6755     0.3510     0.3917
Ħ           0.7223    0.2663       0.7223     0.2661     0.7339     0.4678     0.4983
ħ           0.7223    0.2357       0.7223     0.3328     0.6672     0.3344     0.3917
Ĩ           0.7223    0.1559       0.7223     0.3974     0.6026     0.2052     0.1818
ĩ           0.7223    0.2549       0.7223     0.3974     0.6026     0.2052     0.1824
Ī           0.7223    0.1824       0.7223     0.4011     0.5989     0.1978     0.1818
ī           0.7223    0.2814       0.7223     0.4011     0.5989     0.1978     0.1824
Ĭ           0.7223    0.1368       0.7223     0.3974     0.6026     0.2052     0.1818
ĭ           0.7223    0.2357       0.7223     0.3974     0.6026     0.2052     0.1824
Į           0.7223    0.2663       0.8364     0.4473     0.5527     0.1054     0.1818
į           0.7223    0.2663       0.8364     0.4473     0.5527     0.1054     0.1824
İ           0.7223    0.1673       0.7223     0.4676     0.5324     0.0647     0.1818
ı           0.7223    0.3877       0.7223     0.4696     0.5304     0.0607     0.1824
Ĳ           0.7223    0.2663       0.8136     0.3695     0.6305     0.2610     0.3760
ĳ           0.7223    0.2663       0.8515     0.3783     0.6217     0.2435     0.3652
Ĵ           0.7223    0.1291       0.8136     0.3641     0.6359     0.2718     0.1963
ĵ           0.7223    0.2280       0.8515     0.3720     0.6280     0.2561     0.1920
Ķ           0.7223    0.2663       0.8555     0.3290     0.6710     0.3421     0.4120
ķ           0.7223    0.2357       0.8555     0.3521     0.6479     0.2958     0.3689
ĸ           0.7223    0.3877       0.7223     0.3521     0.6479     0.2958     0.3689
Ĺ           0.7223    0.1291       0.7223     0.3621     0.6379     0.2758     0.3365
ĺ           0.7223    0.1063       0.7223     0.4277     0.5723     0.1445     0.1824
Ļ           0.7223    0.2663       0.8555     0.3650     0.6350     0.2700     0.3365
ļ           0.7223    0.2357       0.8555     0.4465     0.5535     0.1069     0.1824
Ľ           0.7223    0.2663       0.7223     0.3650     0.6350     0.2700     0.3365
ľ           0.7223    0.2357       0.7223     0.4088     0.5912     0.1824     0.2737
Ŀ           0.7223    0.2663       0.7223     0.3650     0.6350     0.2700     0.3365
ŀ           0.7223    0.2357       0.7223     0.4088     0.5912     0.1824     0.2435
Ł           0.7223    0.2663       0.7223     0.3311     0.6689     0.3378     0.3365
ł           0.7223    0.2357       0.7223     0.4011     0.5989     0.1978     0.1824
Ń           0.7223    0.1291       0.7223     0.3257     0.6743     0.3485     0.4663
ń           0.7223    0.2280       0.7223     0.3632     0.6368     0.2737     0.3917
Ņ           0.7223    0.2663       0.8555     0.3257     0.6743     0.3485     0.4663
ņ           0.7223    0.3803       0.8555     0.3632     0.6368     0.2737     0.3917
Ň           0.7223    0.1291       0.7223     0.3257     0.6743     0.3485     0.4663
ň           0.7223    0.2280       0.7223     0.3632     0.6368     0.2737     0.3917
ŉ           0.7223    0.2357       0.7223     0.3062     0.6938     0.3877     0.4675
Ŋ           0.7223    0.2663       0.8518     0.3257     0.6743     0.3485     0.4663
ŋ           0.7223    0.3803       0.8518     0.3632     0.6368     0.2737     0.3917
Ō           0.7223    0.1824       0.7337     0.2867     0.7133     0.4265     0.4903
ō           0.7223    0.2814       0.7300     0.3404     0.6596     0.3193     0.3877
Ŏ           0.7223    0.1368       0.7337     0.2867     0.7133     0.4265     0.4903
ŏ           0.7223    0.2357       0.7300     0.3404     0.6596     0.3193     0.3877
Ő           0.7223    0.1291       0.7337     0.2867     0.7133     0.4265     0.4903
ő           0.7223    0.2280       0.7300     0.3351     0.6649     0.3297     0.3877
Œ           0.7223    0.2549       0.7337     0.2080     0.7920     0.5840     0.6311
œ           0.7223    0.3803       0.7300     0.2465     0.7535     0.5069     0.5858
Ŕ           0.7223    0.1291       0.7223     0.3331     0.6669     0.3337     0.3991
ŕ           0.7223    0.2280       0.7223     0.4076     0.5924     0.1849     0.2582
Ŗ           0.7223    0.2663       0.8555     0.3331     0.6669     0.3337     0.3991
ŗ           0.7223    0.3803       0.8555     0.4052     0.5948     0.1895     0.2582
Ř           0.7223    0.1291       0.7223     0.3331     0.6669     0.3337     0.3991
ř           0.7223    0.2280       0.7223     0.3921     0.6079     0.2157     0.2582
Ś           0.7223    0.1291       0.7337     0.3612     0.6388     0.2777     0.3399
ś           0.7223    0.2280       0.7300     0.3875     0.6125     0.2250     0.3214
Ŝ           0.7223    0.1291       0.7337     0.3612     0.6388     0.2777     0.3399
ŝ           0.7223    0.2280       0.7300     0.3875     0.6125     0.2250     0.3214
Ş           0.7223    0.2549       0.8555     0.3612     0.6388     0.2777     0.3399
ş           0.7223    0.3803       0.8555     0.3875     0.6125     0.2250     0.3214
Š           0.7223    0.1291       0.7337     0.3612     0.6388     0.2777     0.3399
š           0.7223    0.2280       0.7300     0.3875     0.6125     0.2250     0.3214
Ţ           0.7223    0.2663       0.8555     0.3059     0.6941     0.3883     0.3991
ţ           0.7223    0.3211       0.8555     0.4029     0.5971     0.1941     0.2361
Ť           0.7223    0.1291       0.7223     0.3059     0.6941     0.3883     0.3991
ť           0.7223    0.1948       0.7300     0.3917     0.6083     0.2166     0.3636
Ŧ           0.7223    0.2663       0.7223     0.3059     0.6941     0.3883     0.3991
ŧ           0.7223    0.3211       0.7300     0.3974     0.6026     0.2052     0.2361
Ũ           0.7223    0.1559       0.7337     0.3364     0.6636     0.3273     0.4373
ũ           0.7223    0.2549       0.7300     0.3632     0.6368     0.2737     0.3917
Ū           0.7223    0.1824       0.7337     0.3364     0.6636     0.3273     0.4373
ū           0.7223    0.2814       0.7300     0.3632     0.6368     0.2737     0.3917
Ŭ           0.7223    0.1368       0.7337     0.3364     0.6636     0.3273     0.4373
ŭ           0.7223    0.2357       0.7300     0.3632     0.6368     0.2737     0.3917
Ů           0.7223    0.0958       0.7337     0.3364     0.6636     0.3273     0.4373
ů           0.7223    0.1871       0.7300     0.3632     0.6368     0.2737     0.3917
Ű           0.7223    0.1291       0.7337     0.3311     0.6689     0.3378     0.4373
ű           0.7223    0.2280       0.7300     0.3490     0.6510     0.3020     0.3917
Ų           0.7223    0.2663       0.8364     0.3364     0.6636     0.3273     0.4373
ų           0.7223    0.3877       0.8364     0.3632     0.6368     0.2737     0.3917
Ŵ           0.7223    0.1291       0.7223     0.2308     0.7692     0.5384     0.5399
ŵ           0.7223    0.2280       0.7223     0.2609     0.7391     0.4783     0.4863
Ŷ           0.7223    0.1291       0.7223     0.3100     0.6900     0.3800     0.3932
ŷ           0.7223    0.2280       0.8441     0.3394     0.6606     0.3211     0.3297
Ÿ           0.7223    0.1747       0.7223     0.3100     0.6900     0.3800     0.3932
Ź           0.7223    0.1291       0.7223     0.3387     0.6613     0.3227     0.3818
ź           0.7223    0.2280       0.7223     0.3570     0.6430     0.2860     0.3621
Ż           0.7223    0.1673       0.7223     0.3387     0.6613     0.3227     0.3815
ż           0.7223    0.2663       0.7223     0.3570     0.6430     0.2860     0.3618
Ž           0.7223    0.1291       0.7223     0.3387     0.6613     0.3227     0.3818
ž           0.7223    0.2280       0.7223     0.3570     0.6430     0.2860     0.3621
ſ           0.7223    0.2280       0.7223     0.3871     0.6129     0.2259     0.2200
ƀ           0.7223    0.2357       0.7300     0.3185     0.6815     0.3630     0.3972
Ɓ           0.7223    0.2663       0.7223     0.2963     0.7037     0.4074     0.4410
Ƃ           0.7223    0.2663       0.7223     0.3612     0.6388     0.2777     0.3670
ƃ           0.7223    0.2357       0.7300     0.3488     0.6512     0.3023     0.3972
Ƅ           0.7223    0.2663       0.7223     0.3612     0.6388     0.2777     0.3593
ƅ           0.7223    0.3877       0.7223     0.3897     0.6103     0.2206     0.3119
Ɔ           0.7223    0.2549       0.7337     0.3153     0.6847     0.3695     0.4367
Ƈ           0.7223    0.1368       0.7337     0.2680     0.7320     0.4641     0.4367
ƈ           0.7223    0.2280       0.7300     0.3243     0.6757     0.3513     0.3359
Ɖ           0.7223    0.2663       0.7223     0.2749     0.7251     0.4502     0.4727
Ɗ           0.7223    0.2663       0.7223     0.2444     0.7556     0.5112     0.5507
Ƌ           0.7223    0.2663       0.7223     0.3612     0.6388     0.2777     0.3667
ƌ           0.7223    0.2357       0.7300     0.3488     0.6512     0.3023     0.3972
ƍ           0.7223    0.2280       0.7300     0.3479     0.6521     0.3042     0.3726
Ǝ           0.7223    0.2663       0.7223     0.3659     0.6341     0.2681     0.3421
Ə           0.7223    0.2549       0.7337     0.3197     0.6803     0.3606     0.4277
Ɛ           0.7223    0.2545       0.7337     0.3669     0.6331     0.2663     0.3325
Ƒ           0.7223    0.2663       0.8518     0.3279     0.6721     0.3442     0.3384
