# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
  £    (U+00A3)
  ¥    (U+00A5)
  ¦    (U+00A6)
  §    (U+00A7)
  ©    (U+00A9)
  ª    (U+00AA)
  ¬    (U+00AC)
  ®    (U+00AE)
  ¯    (U+00AF)
  °    (U+00B0)
  ±    (U+00B1)
  ²    (U+00B2)
  ³    (U+00B3)
  µ    (U+00B5)
  ¶    (U+00B6)
  ·    (U+00B7)
  ¹    (U+00B9)
  º    (U+00BA)
  ¼    (U+00BC)
  ½    (U+00BD)
  ¾    (U+00BE)
  Å    (U+00C5)
  Ð    (U+00D0)
  ×    (U+00D7)
  Ø    (U+00D8)
  Ý    (U+00DD)
  Þ    (U+00DE)
  å    (U+00E5)
  ð    (U+00F0)
  ÷    (U+00F7)
  ø    (U+00F8)
  ý    (U+00FD)
  þ    (U+00FE)
  ÿ    (U+00FF)
  Ā    (U+0100)
  ā    (U+0101)
  Ă    (U+0102)
  ă    (U+0103)
  Ą    (U+0104)
  ą    (U+0105)
  Ć    (U+0106)
  ć    (U+0107)
  Ĉ    (U+0108)
  ĉ    (U+0109)
  Ċ    (U+010A)
  ċ    (U+010B)
  Č    (U+010C)
  č    (U+010D)
  Ď    (U+010E)
  ď    (U+010F)
  Đ    (U+0110)
  đ    (U+0111)
  Ē    (U+0112)
  ē    (U+0113)
  Ĕ    (U+0114)
  ĕ    (U+0115)
  Ė    (U+0116)
  ė    (U+0117)
  Ę    (U+0118)
  ę    (U+0119)
  Ě    (U+011A)
  ě    (U+011B)
  Ĝ    (U+011C)
  ĝ    (U+011D)
  Ğ    (U+011E)
  ğ    (U+011F)
  Ġ    (U+0120)
  ġ    (U+0121)
  Ģ    (U+0122)
  ģ    (U+0123)
  Ĥ    (U+0124)
  ĥ    (U+0125)
  Ħ    (U+0126)
  ħ    (U+0127)
  Ĩ    (U+0128)
  ĩ    (U+0129)
  Ī    (U+012A)
  ī    (U+012B)
  Ĭ    (U+012C)
  ĭ    (U+012D)
  Į    (U+012E)
  į    (U+012F)
  İ    (U+0130)
  Ĳ    (U+0132)
  ĳ    (U+0133)
