# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
Â           0.7996    0.0120       0.8016     0.1603     0.8397     0.6793     0.6979
Ã           0.7996    0.0130       0.8016     0.1603     0.8397     0.6793     0.6979
Ä           0.7996    0.0030       0.8016     0.1603     0.8397     0.6793     0.6979
Å           0.7996    0.0020       0.8016     0.1603     0.8397     0.6793     0.6979
Æ           0.7996    0.1027       0.8026     0.0564     0.9436     0.8872     0.9232
Ç           0.7996    0.1017       0.9432     0.2203     0.7797     0.5593     0.5882
È           0.7996    0.0040       0.8066     0.1433     0.8567     0.7134     0.7517
É           0.7996    0.0070       0.8066     0.1433     0.8567     0.7134     0.7517
Ê           0.7996    0.0120       0.8066     0.1433     0.8567     0.7134     0.7517
Ë           0.7996    0.0001       0.8066     0.1433     0.8567     0.7134     0.7517
Ì           0.7996    0.0040       0.7996     0.2363     0.7637     0.5273     0.5434
Í           0.7996    0.0010       0.7996     0.2363     0.7637     0.5273     0.5434
Î           0.7996    0.0020       0.7996     0.2363     0.7637     0.5273     0.5434
Ï           0.7996    0.0001       0.7996     0.2363     0.7637     0.5273     0.5434
Ð           0.7996    0.0219       0.7996     0.1750     0.8250     0.6500     0.6909
Ñ           0.7996    0.0229       0.7976     0.0972     0.9028     0.8056     0.8993
Ò           0.7996    0.0000       0.8016     0.1426     0.8574     0.7149     0.7478
Ó           0.7996    0.0070       0.8016     0.1426     0.8574     0.7149     0.7478
Ô           0.7996    0.0020       0.8016     0.1426     0.8574     0.7149     0.7478
Õ           0.7996    0.0030       0.8016     0.1426     0.8574     0.7149     0.7478
Ö           0.7996    0.0001       0.8016     0.1426     0.8574     0.7149     0.7478
×           0.7996    0.1011       0.8002     0.2669     0.7331     0.4661     0.5165
Ø           0.7996    0.1017       0.8016     0.0643     0.9357     0.8714     0.7537
Ù           0.7996    0.0000       0.8006     0.1226     0.8774     0.7547     0.7787
Ú           0.7996    0.0000       0.8006     0.1226     0.8774     0.7547     0.7787
Û           0.7996    0.0020       0.8006     0.1226     0.8774     0.7547     0.7787
Ü           0.7996    0.0001       0.8006     0.1226     0.8774     0.7547     0.7787
Ý           0.7996    0.0010       0.9930     0.1380     0.8620     0.7241     0.6740
Þ           0.7996    0.0020       0.7996     0.2738     0.7262     0.4523     0.4816
ß           0.7996    0.1017       0.7996     0.2931     0.7069     0.4138     0.4706
à           0.7996    0.1735       0.8006     0.3101     0.6899     0.3799     0.4835
á           0.7996    0.1815       0.8006     0.3101     0.6899     0.3799     0.4835
â           0.7996    0.1765       0.8006     0.3101     0.6899     0.3799     0.4835
ã           0.7996    0.1924       0.8006     0.3006     0.6994     0.3988     0.4835
ä           0.7996    0.1825       0.8006     0.2976     0.7024     0.4048     0.4835
å           0.7996    0.1366       0.8006     0.3101     0.6899     0.3799     0.4835
æ           0.7996    0.3011       0.8006     0.1949     0.8051     0.6102     0.6740
ç           0.7996    0.3011       0.9432     0.2951     0.7049     0.4098     0.4766
è           0.7996    0.1785       0.8006     0.3081     0.6919     0.3838     0.4467
é           0.7996    0.1765       0.8006     0.3081     0.6919     0.3838     0.4467
ê           0.7996    0.1815       0.8006     0.3081     0.6919     0.3838     0.4467
ë           0.7996    0.1825       0.8006     0.3081     0.6919     0.3838     0.4467
ì           0.7996    0.1735       0.7996     0.3494     0.6506     0.3012     0.2632
í           0.7996    0.1765       0.7996     0.3494     0.6506     0.3012     0.2632
î           0.7996    0.1765       0.7996     0.3784     0.6216     0.2433     0.2632
ï           0.7996    0.1825       0.7996     0.3524     0.6476     0.2951     0.2632
ð           0.7996    0.0982       0.8016     0.2448     0.7552     0.5105     0.5773
ñ           0.7996    0.1924       0.8056     0.2343     0.7657     0.5315     0.5603
ò           0.7996    0.1785       0.7996     0.2403     0.7597     0.5194     0.5862
ó           0.7996    0.1765       0.7996     0.2403     0.7597     0.5194     0.5862
ô           0.7996    0.1815       0.7996     0.2403     0.7597     0.5194     0.5862
õ           0.7996    0.1874       0.7996     0.2403     0.7597     0.5194     0.5862
ö           0.7996    0.1825       0.7996     0.2403     0.7597     0.5194     0.5862
÷           0.7996    0.2263       0.6750     0.2739     0.7261     0.4521     0.5184
ø           0.7996    0.2832       0.7996     0.1685     0.8315     0.6630     0.6540
ù           0.7996    0.1785       0.7996     0.2453     0.7547     0.5095     0.5474
ú           0.7996    0.1815       0.7996     0.2453     0.7547     0.5095     0.5484
û           0.7996    0.1765       0.7996     0.2453     0.7547     0.5095     0.5474
ü           0.7996    0.1825       0.7996     0.2453     0.7547     0.5095     0.5474
ý           0.7996    0.1815       0.9332     0.2373     0.7627     0.5253     0.5882
þ           0.7996    0.1515       1.0000     0.2753     0.7247     0.4493     0.4776
ÿ           0.7996    0.1676       0.9332     0.2373     0.7627     0.5253     0.5882
Œ           0.7996    0.1067       0.8016    -0.0089     1.0089     1.0178     1.0648
œ           0.7996    0.3011       0.8006     0.1107     0.8893     0.7787     0.8415
Š           0.7996    0.0029       0.7996     0.1705     0.8295     0.6590     0.6839
š           0.7996    0.1704       0.7996     0.2473     0.7527     0.5055     0.5633
Ÿ           0.7996    0.0080       0.9930     0.1380     0.8620     0.7241     0.6919
ƒ           0.7996    0.3011       0.6999     0.3006     0.6994     0.3988     0.4786
ˆ           0.7996    0.1765       0.2662     0.3824     0.6176     0.2353     0.2383
˜           0.7996    0.1745       0.2682     0.3310     0.6690     0.3380     0.4337
–           0.7996    0.3899       0.5108     0.2615     0.7385     0.4771     0.5314
—           0.7996    0.3899       0.5108     0.1598     0.8402     0.6805     0.7368
‘           0.7996    0.0466       0.3121     0.4063     0.5937     0.1874     0.2124
’           0.7996    0.0518       0.3173     0.4063     0.5937     0.1874     0.1137
‚           0.7996    0.5404       0.8058     0.4063     0.5937     0.1874     0.2223
“           0.7996    0.0466       0.3121     0.2891     0.7109     0.4217     0.4417
”           0.7996    0.0518       0.3173     0.2891     0.7109     0.4217     0.3480
„           0.7996    0.5394       0.8048     0.2891     0.7109     0.4217     0.4556
†           0.7996    0.1017       0.5354     0.3654     0.6346     0.2692     0.3210
‡           0.7996    0.1017       0.7388     0.3654     0.6346     0.2692     0.3210
•           0.7996    0.3011       0.6002     0.3504     0.6496     0.2991     0.4008
…           0.7996    0.6799       0.7996     0.1191     0.8809     0.7617     0.8614
‰           0.7996    0.1011       0.8126     0.1588     0.8412     0.6825     0.7358
‹           0.7996    0.5384       0.7886     0.3544     0.6456     0.2911     0.3629
›           0.7996    0.5384       0.7886     0.3544     0.6456     0.2911     0.3549
™           0.7996    0.1017       0.3709     0.1780     0.8220     0.6441     0.7019
∙           0.7996    0.3908       0.5105     0.4063     0.5937     0.1874     0.2841
U+E003      0.7996    0.3899       0.5108     0.2739     0.7261     0.4521     0.5623
U+E004      0.7996    0.1515       0.7398     0.2739     0.7261     0.4521     0.5165
U+E005      0.7996    0.2552       0.6889     0.1117     0.8883     0.7767     0.8315
U+E006      0.7996    0.1513       0.7999     0.2739     0.7261     0.4521     0.5065
U+E007      0.7996    0.1515       0.7999     0.2739     0.7261     0.4521     0.5065
U+E008      0.7996    0.2902       0.8017     0.2340     0.7660     0.5319     0.5733
U+E009      0.7996    0.1017       0.7996     0.1510     0.8490     0.6979     0.7747
U+E00A      0.7996    0.1715       0.7422     0.1094     0.8906     0.7812     0.8365
U+E00B      0.7996    0.2039       0.8339     0.1850     0.8150     0.6300     0.7019
U+E00C      0.7996    0.3011       0.7996     0.2084     0.7916     0.5833     0.6451
U+E00E      0.7996    0.3848       0.7996     0.2926     0.7074     0.4148     0.4706
U+E00F      0.7996    0.1103       0.7990     0.1490     0.8510     0.7019     0.7577

# Missing mapped glyphs (present in cmap but not exportable):
       (U+0020)
  \ue000  (U+E000)
  \ue001  (U+E001)
  \ue002  (U+E002)
  \ue00d  (U+E00D)
